requirement_id,priority,release,source_section,requirement,planned_test,implementation,status
AC-05,Required,R4,۲۱. معیارهای پذیرش سطح محصول,بررسی داخلی — ادمین درخواست را بیابد، یادداشت و نتیجه تماس ثبت کند و تمام تغییرات حساس ممیزی شوند.,T-AC-05,TBD,Planned
AC-06,Required,R4,۲۱. معیارهای پذیرش سطح محصول,پیشنهاد — پیشنهاد اختصاصی با مبلغ، خروجی، شرایط و انقضا ساخته و لینک آن از دو کانال ارسال شود.,T-AC-06,TBD,Planned
AC-07,Required,R4,۲۱. معیارهای پذیرش سطح محصول,حریم قیمت — هیچ قیمت جلسه‌ای در صفحه عمومی وجود نداشته باشد؛ مبلغ فقط در لینک معتبر همان پیشنهاد دیده شود.,T-AC-07,TBD,Planned
AC-08,Required,R4,۲۱. معیارهای پذیرش سطح محصول,پرداخت آنلاین — پس از verify سمت سرور، سفارش دقیقاً یک‌بار پرداخت‌شده شود و رسید صادر گردد.,T-AC-08,TBD,Planned
AC-09,Required,R4,۲۱. معیارهای پذیرش سطح محصول,واریز بانکی — ثبت واریز در انتظار بماند و فقط پس از تأیید کاربر مالی، سفارش وصول‌شده شود.,T-AC-09,TBD,Planned
AC-10,Required,R4,۲۱. معیارهای پذیرش سطح محصول,انقضا — پیشنهاد منقضی یا باطل‌شده قابل پذیرش و پرداخت نباشد.,T-AC-10,TBD,Planned
AC-11,Required,R4,۲۱. معیارهای پذیرش سطح محصول,حقوقی — پیش از پرداخت، شرایط، حریم خصوصی و لغو/استرداد قابل مشاهده و پذیرش نسخه‌دار باشند.,T-AC-11,TBD,Planned
AC-12,Required,R4,۲۱. معیارهای پذیرش سطح محصول,اطلاعات شرکت — نام ثبتی، شناسه ملی، شماره ثبت، نشانی، تلفن و ایمیل در فوتر و تماس قابل مشاهده باشند.,T-AC-12,TBD,Planned
AC-13,Required,R4,۲۱. معیارهای پذیرش سطح محصول,سطح دسترسی — کاربر محتوا، عملیات و مالی فقط عملیات نقش خود را انجام دهد و دسترسی غیرفعال فوراً قطع شود.,T-AC-13,TBD,Planned
AC-14,Required,R4,۲۱. معیارهای پذیرش سطح محصول,RTL و موبایل — همه مسیرهای اصلی در عرض ۳۲۰ پیکسل بدون اسکرول افقی و با ترتیب RTL صحیح قابل انجام باشند.,T-AC-14,TBD,Planned
AC-15,Required,R4,۲۱. معیارهای پذیرش سطح محصول,ممیزی — تغییر مبلغ، تأیید واریز، استرداد و تغییر نقش با بازیگر، زمان و مقدار قبل/بعد ثبت شوند.,T-AC-15,TBD,Planned
